1,Manfred,Bloodworthe,2024,2.3
2,Conni,Prando,2022,2.2
3,Ambur,Ibbitson,2023,2.7
4,Lane,Sango,2022,0.1
5,Tommy,Tschursch,2023,1.7
6,Maddy,Saggers,2023,3.4
7,Shaughn,Cutchie,2023,1.7
8,Bradly,Pharoah,2024,0.2
9,Chales,Beveredge,2022,2.8
10,Robbin,Whyte,2023,1.5
11,Annadiana,Gowling,2022,2.3
12,Chariot,Henstridge,2022,3.7
13,Dunstan,Catt,2024,3.7
14,Hannis,Mountlow,2023,1.5
15,Gerek,Hollingdale,2023,2.1
16,Krissie,Ram,2023,2.6
17,Barrett,Sieur,2024,0.9
18,Ingelbert,Daldry,2022,1.3
19,Derward,McIlraith,2023,3.9
20,Randall,Danilishin,2022,2.2
21,Kinna,Priestley,2024,2
22,Elladine,Klewer,2023,1.7
23,Leisha,Putten,2022,2.4
24,Isaac,Safe,2023,3.1
25,Ethe,Cribbin,2022,3.8
26,Tann,Smickle,2022,2.1
27,Ellary,Bullon,2022,3.2
28,Gerik,Keady,2023,1.5
29,Freddie,Voss,2024,3.4
30,Robers,Laughrey,2023,3.8
31,Nat,Poundford,2022,1.2
32,Kristina,Roome,2024,1.1
33,Luciano,Cranmere,2023,1.6
34,Ari,Quakley,2024,2.5
35,Tadio,D'eath,2022,2.3
36,Desiree,Mulran,2023,2.2
37,Diann,Gemlett,2023,1.5
38,Sheffield,Gilfoyle,2022,1.9
39,Rees,Vasilic,2022,3.3
40,Vivian,Landeg,2023,0.1
41,Dee dee,O'Corhane,2023,1.9
42,Boigie,Rollings,2022,0.6
43,Delila,Pengilly,2024,2.3
44,Domenic,Heake,2023,2.9
45,Auguste,Harland,2024,3.2
46,Anatole,Bramall,2023,3.3
47,Gannon,Girling,2024,3.7
48,Theodor,Howieson,2023,1.7
49,Melamie,Castellan,2024,2.3
50,Etan,Calles,2023,2.2
51,Shandra,Wetherick,2024,1.5
52,Noemi,Vegas,2022,3.7
53,Damon,Geertje,2024,2.8
54,Yanaton,Polglase,2023,2.3
55,Sofie,Landal,2024,0.3
56,Cal,Shardlow,2023,0.6
57,Ashlie,Lutton,2024,0.2
58,Derek,Braxton,2024,1.2
59,Hersh,Dilston,2024,0.7
60,Elvin,Garrie,2023,1.9
61,Livvyy,Pigeram,2023,2.1
62,Arri,Canto,2022,3.2
63,Matti,MacShirie,2023,2.5
64,Ebba,Cicculini,2024,1.8
65,Romonda,Girtin,2022,2.8
66,Gabriel,Demcik,2022,1.9
67,Vassily,Blazejewski,2022,1.8
68,Diane,Amner,2024,2.4
69,Fabiano,Gunningham,2023,3.3
70,Humfried,Oakwood,2024,2.2
71,Werner,Jubert,2023,1.1
72,Gladys,Martineau,2023,1.3
73,Jamey,Willeson,2022,2.5
74,Adoree,Davidman,2022,3.2
75,Derrick,Fairholme,2023,0.1
76,Tiphani,McComb,2023,0.4
77,Irita,Breckin,2023,2.1
78,Liliane,Pedycan,2022,1.4
79,Ulric,Capper,2023,2.6
80,Neysa,Petofi,2024,2.8
81,Pacorro,Randles,2022,1.8
82,Desdemona,Auchinleck,2022,0.8
83,Elenore,Trimming,2024,3
84,Gaye,Causer,2023,0.9
85,Sonny,Kirmond,2023,0.5
86,Ruy,Domelow,2024,3.9
87,Dallas,Kerbey,2024,0.6
88,Roxi,Lyttle,2024,2.7
89,Dene,Wemyss,2023,2.8
90,Gabi,Pfertner,2023,2.6
91,Ilyse,McCready,2022,3
92,Egan,McFee,2023,0.2
93,Virgina,Alenichicov,2022,0.9
94,Devland,Matei,2024,0.1
95,Idalia,Dearnaley,2023,1.3
96,Marcos,Younglove,2023,1.9
97,Dulciana,Hacker,2024,3.5
98,Brockie,Rackham,2023,2.7
99,Misti,Scotney,2023,2.8
100,Leodora,Le feuvre,2023,3.8
